charge_type,num_points,noise_percent,mse,mae,correlation,best_loss,model_path,plot_path
gaussian,200,0,0.06219885125756264,0.1984390765428543,0.9886973556701589,0.0009619977208785713,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_200_noise_0_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_200_noise_0.png
gaussian,200,1,0.12900884449481964,0.28215378522872925,0.9769849131427651,0.0015337398508563638,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_200_noise_1_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_200_noise_1.png
gaussian,200,2,0.10707861185073853,0.2511112689971924,0.9803078288157037,0.0020705212373286486,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_200_noise_2_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_200_noise_2.png
gaussian,200,5,0.09886305034160614,0.2502773702144623,0.9820267311856352,0.006566711701452732,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_200_noise_5_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_200_noise_5.png
gaussian,400,0,0.06747996807098389,0.20604389905929565,0.9877336492066945,0.000723592471331358,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_400_noise_0_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_400_noise_0.png
gaussian,400,1,0.08739831298589706,0.23166891932487488,0.9844106906631606,0.0012938606087118387,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_400_noise_1_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_400_noise_1.png
gaussian,400,2,0.08161566406488419,0.21994160115718842,0.9855272774839858,0.0017178487032651901,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_400_noise_2_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_400_noise_2.png
gaussian,400,5,0.09778839349746704,0.23891079425811768,0.9823093465146044,0.007706542499363422,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_400_noise_5_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_400_noise_5.png
gaussian,800,0,0.08035475015640259,0.23002490401268005,0.9854859100639218,0.0011879918165504932,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_800_noise_0_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_800_noise_0.png
gaussian,800,1,0.08377332985401154,0.2314537912607193,0.9846660944865347,0.0015590018592774868,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_800_noise_1_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_800_noise_1.png
gaussian,800,2,0.0711851716041565,0.2109386920928955,0.9869382829446564,0.0016459159087389708,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_800_noise_2_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_800_noise_2.png
gaussian,800,5,0.06889189779758453,0.20926713943481445,0.9874650466406981,0.007064713630825281,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_800_noise_5_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_800_noise_5.png
gaussian,1500,0,0.07208015769720078,0.22367028892040253,0.9870677013385429,0.0007639884715899825,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_1500_noise_0_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_1500_noise_0.png
gaussian,1500,1,0.10060062259435654,0.2590043246746063,0.9817495707870598,0.0015681285876780748,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_1500_noise_1_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_1500_noise_1.png
gaussian,1500,2,0.05546649172902107,0.1901627629995346,0.9900282383898743,0.0018164410721510649,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_1500_noise_2_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_1500_noise_2.png
gaussian,1500,5,0.06255348026752472,0.20126652717590332,0.9888678983479529,0.007039968390017748,outputs_refactor\full_matrix_rerun_20260214_112937\models\gaussian\inverse_pts_1500_noise_5_best.pth,outputs_refactor\full_matrix_rerun_20260214_112937\plots\gaussian\inverse_pts_1500_noise_5.png
